Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Aachen,1,Valid,L5,,1880-01-01T00:00:00.000,50.775000,6.083330,"[6.08333, 50.775]"
Aarhus,2,Valid,H6,,1951-01-01T00:00:00.000,56.183330,10.233330,"[10.23333, 56.18333]"
Abee,6,Valid,EH4,,1952-01-01T00:00:00.000,54.216670,-113.000000,"[-113, 54.21667]"
Acapulco,10,Valid,Acapulcoite,,1976-01-01T00:00:00.000,16.883330,-99.900000,"[-99.9, 16.88333]"
Achiras,370,Valid,L6,,1902-01-01T00:00:00.000,-33.166670,-64.950000,"[-64.95, -33.16667]"
Adhi Kot,379,Valid,EH4,,1919-01-01T00:00:00.000,32.100000,71.800000,"[71.8, 32.1]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,,1949-01-01T00:00:00.000,44.833330,95.166670,"[95.16667, 44.83333]"
Agen,392,Valid,H5,,1814-01-01T00:00:00.000,44.216670,0.616670,"[0.61667, 44.21667]"
Aguada,398,Valid,L6,,1930-01-01T00:00:00.000,-31.600000,-65.233330,"[-65.23333, -31.6]"
Aguila Blanca,417,Valid,L,,1920-01-01T00:00:00.000,-30.866670,-64.550000,"[-64.55, -30.86667]"
Aioun el Atrouss,423,Valid,Diogenite-pm,,1974-01-01T00:00:00.000,16.398060,-9.570280,"[-9.57028, 16.39806]"
Aïr,424,Valid,L6,,1925-01-01T00:00:00.000,19.083330,8.383330,"[8.38333, 19.08333]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.666670,2.333330,"[2.33333, 50.66667]"
Akaba,426,Valid,L6,,1949-01-01T00:00:00.000,29.516670,35.050000,"[35.05, 29.51667]"
Akbarpur,427,Valid,H4,,1838-01-01T00:00:00.000,29.716670,77.950000,"[77.95, 29.71667]"
Akwanga,432,Valid,H,,1959-01-01T00:00:00.000,8.916670,8.433330,"[8.43333, 8.91667]"
Akyumak,433,Valid,"Iron, IVA",,1981-01-01T00:00:00.000,39.916670,42.816670,"[42.81667, 39.91667]"
Al Rais,446,Valid,CR2-an,,1957-01-01T00:00:00.000,24.416670,39.516670,"[39.51667, 24.41667]"
Al Zarnkh,447,Valid,LL5,,2001-01-01T00:00:00.000,13.660330,28.960000,"[28.96, 13.66033]"
Alais,448,Valid,CI1,,1806-01-01T00:00:00.000,44.116670,4.083330,"[4.08333, 44.11667]"
Albareto,453,Valid,L/LL4,,1766-01-01T00:00:00.000,44.650000,11.016670,"[11.01667, 44.65]"
Alberta,454,Valid,L,,1949-01-01T00:00:00.000,2.000000,22.666670,"[22.66667, 2]"
Alby sur Chéran,458,Valid,Eucrite-mmict,,2002-01-01T00:00:00.000,45.821330,6.015330,"[6.01533, 45.82133]"
Aldsworth,461,Valid,LL5,,1835-01-01T00:00:00.000,51.783330,-1.783330,"[-1.78333, 51.78333]"
Aleppo,462,Valid,L6,,1873-01-01T00:00:00.000,36.233330,37.133330,"[37.13333, 36.23333]"
Alessandria,463,Valid,H5,,1860-01-01T00:00:00.000,44.883330,8.750000,"[8.75, 44.88333]"
Alexandrovsky,465,Valid,H4,,1900-01-01T00:00:00.000,50.950000,31.816670,"[31.81667, 50.95]"
Alfianello,466,Valid,L6,,1883-01-01T00:00:00.000,45.266670,10.150000,"[10.15, 45.26667]"
Allegan,2276,Valid,H5,,1899-01-01T00:00:00.000,42.533330,-85.883330,"[-85.88333, 42.53333]"
Allende,2278,Valid,CV3,,1969-01-01T00:00:00.000,26.966670,-105.316670,"[-105.31667, 26.96667]"
Almahata Sitta,48915,Valid,Ureilite-an,,2008-01-01T00:00:00.000,20.745750,32.412750,"[32.41275, 20.74575]"
Alta'ameem,2284,Valid,LL5,,1977-01-01T00:00:00.000,35.273330,44.215560,"[44.21556, 35.27333]"
Ambapur Nagla,2290,Valid,H5,,1895-01-01T00:00:00.000,27.666670,78.250000,"[78.25, 27.66667]"
Andhara,2294,Valid,Stone-uncl,,1880-01-01T00:00:00.000,26.583330,85.566670,"[85.56667, 26.58333]"
Andover,2295,Valid,L6,,1898-01-01T00:00:00.000,44.616670,-70.750000,"[-70.75, 44.61667]"
Andreevka,2296,Valid,L3,,1969-01-01T00:00:00.000,48.700000,37.500000,"[37.5, 48.7]"
Andura,2298,Valid,H6,,1939-01-01T00:00:00.000,20.883330,76.866670,"[76.86667, 20.88333]"
Northwest Africa 5815,50693,Valid,L5,,,0.000000,0.000000,"[0, 0]"
Angers,2301,Valid,L6,,1822-01-01T00:00:00.000,47.466670,-0.550000,"[-0.55, 47.46667]"
Angra dos Reis (stone),2302,Valid,Angrite,,1869-01-01T00:00:00.000,-22.966670,-44.316670,"[-44.31667, -22.96667]"
Ankober,2304,Valid,H4,,1942-01-01T00:00:00.000,9.533330,39.716670,"[39.71667, 9.53333]"
Anlong,2305,Valid,H5,,1971-01-01T00:00:00.000,25.150000,105.183330,"[105.18333, 25.15]"
Aomori,2313,Valid,L6,,1984-01-01T00:00:00.000,40.810560,140.785560,"[140.78556, 40.81056]"
Appley Bridge,2318,Valid,LL6,,1914-01-01T00:00:00.000,53.583330,-2.716670,"[-2.71667, 53.58333]"
Apt,2320,Valid,L6,,1803-01-01T00:00:00.000,43.866670,5.383330,"[5.38333, 43.86667]"
Arbol Solo,2325,Valid,H5,,1954-01-01T00:00:00.000,-33.000000,-66.000000,"[-66, -33]"
Archie,2329,Valid,H6,,1932-01-01T00:00:00.000,38.500000,-94.300000,"[-94.3, 38.5]"
Arroyo Aguiar,2340,Valid,H5,,1950-01-01T00:00:00.000,-31.416670,-60.666670,"[-60.66667, -31.41667]"
Asco,2345,Valid,H6,,1805-01-01T00:00:00.000,42.450000,9.033330,"[9.03333, 42.45]"
Ash Creek,48954,Valid,L6,,2009-01-01T00:00:00.000,31.805000,-97.010000,"[-97.01, 31.805]"
Ashdon,2346,Valid,L6,,1923-01-01T00:00:00.000,52.050000,0.300000,"[0.3, 52.05]"
Assisi,2353,Valid,H5,,1886-01-01T00:00:00.000,43.033330,12.550000,"[12.55, 43.03333]"
Atarra,4883,Valid,L4,,1920-01-01T00:00:00.000,25.254170,80.625000,"[80.625, 25.25417]"
Atemajac,4884,Valid,L6,,1896-01-01T00:00:00.000,20.066670,-103.666670,"[-103.66667, 20.06667]"
Athens,4885,Valid,LL6,,1933-01-01T00:00:00.000,34.750000,-87.000000,"[-87, 34.75]"
Atoka,4888,Valid,L6,,1945-01-01T00:00:00.000,34.316670,-96.150000,"[-96.15, 34.31667]"
Aubres,4893,Valid,Aubrite,,1836-01-01T00:00:00.000,44.383330,5.166670,"[5.16667, 44.38333]"
Aumale,4899,Valid,L6,,1865-01-01T00:00:00.000,36.166670,3.666670,"[3.66667, 36.16667]"
Aumieres,4900,Valid,L6,,1842-01-01T00:00:00.000,44.333330,3.233330,"[3.23333, 44.33333]"
Ausson,4903,Valid,L5,,1858-01-01T00:00:00.000,43.083330,0.583330,"[0.58333, 43.08333]"
Avanhandava,4905,Valid,H4,,1952-01-01T00:00:00.000,-21.460280,-49.950830,"[-49.95083, -21.46028]"
Avce,4906,Valid,"Iron, IIAB",,1908-01-01T00:00:00.000,46.000000,13.500000,"[13.5, 46]"
Avilez,4907,Valid,H,,1855-01-01T00:00:00.000,25.000000,-103.500000,"[-103.5, 25]"
